작업신고번호,공사현장명,위치_소재지,건물명_설비명,해체제거업자사업체명,해체시작년월일,해체종료년월일,변경사유발생일자,순번,종류명,면적_부피_길이(제곱미터)
부 산 청-20220417,부산시 남구 무민사로 8 슬레이트 해체제거공사,(48558)부산광역시 남구 무민사로 8(감만동) (감만동 499-5),근린생활시설,대륭개발（주）,2022-11-01,2022-11-19,,3,천장재,
부 산 청-20220410,창성여객자동차(주) 1층 식당 및 창고 석면 철거공사,(48548)부산광역시 남구 신선로329번길 16-8(용당동) 창성여객자동차주식회사,가동,한국ENG,2022-10-26,2022-11-09,,3,천장재,112.48 ㎡
부 산 청-20220402,남구 문현동 798-5 외 필지 철거공사,(48402)부산광역시 남구 전포대로 27(문현동) 외 1필지 (전포대로 25),아트빌딩,에코환경건설(주),2022-10-15,2022-10-31,,3,천장재,92.21 ㎡
부 산 청-20220401,대연3구역 주택재개발정비사업 중 석면해체.제거작업(7차),(48460)부산광역시 남구 수영로172번길 6(대연동) 외 7개소,"교회,주택,단독주택,위험물저장및처리시설",태흥개발,2022-10-15,2022-10-30,,10,기타,203.76 ㎡
부 산 청-20220401,대연3구역 주택재개발정비사업 중 석면해체.제거작업(7차),(48460)부산광역시 남구 수영로172번길 6(대연동) 외 7개소,"교회,주택,단독주택,위험물저장및처리시설",태흥개발,2022-10-15,2022-10-30,,9,개스킷,0.02 ㎡
부 산 청-20220401,대연3구역 주택재개발정비사업 중 석면해체.제거작업(7차),(48460)부산광역시 남구 수영로172번길 6(대연동) 외 7개소,"교회,주택,단독주택,위험물저장및처리시설",태흥개발,2022-10-15,2022-10-30,,3,천장재,352.39 ㎡
부 산 청-20220401,대연3구역 주택재개발정비사업 중 석면해체.제거작업(7차),(48460)부산광역시 남구 수영로172번길 6(대연동) 외 7개소,"교회,주택,단독주택,위험물저장및처리시설",태흥개발,2022-10-15,2022-10-30,,4,지붕재,154.22 ㎡
부 산 청-20220286,2022년도 부산항 감만부두 운영건물(4B) 유지보수공사 중 석면 해체#8901;제거 공사,"(48481)부산광역시 남구 북항로 59(감만동) 5동 3, 4층",부산항만공사 5동,우성건설,2022-08-01,2022-10-30,,5,벽   재,845.55 ㎡
부 산 청-20220286,2022년도 부산항 감만부두 운영건물(4B) 유지보수공사 중 석면 해체#8901;제거 공사,"(48481)부산광역시 남구 북항로 59(감만동) 5동 3, 4층",부산항만공사 5동,우성건설,2022-08-01,2022-10-30,,3,천장재,㎡
부 산 청-20220385,"남구 못골번영로56번길 2, 1층 일부 리모델링공사",(48436)부산광역시 남구 못골번영로56번길 2 청암빌라 (대연동 1475-15),남구 못골번영로56번길 2,(주)공간산업개발,2022-10-05,2022-10-07,,3,천장재,58.88 ㎡
